RPOWER-BE EMA9:12.2119 EMA21:12.4897
SUZLON EMA9:6.6310 EMA21:6.9471
HCC EMA9:10.1396 EMA21:11.1031
RELCAPITAL EMA9:16.5057 EMA21:17.7998
RTNPOWER-BE EMA9:6.4896 EMA21:6.7455
RCOM EMA9:3.0962 EMA21:3.2523
SAKUMA-BE EMA9:12.3595 EMA21:12.3900
JPPOWER EMA9:4.8001 EMA21:5.0813
A2ZINFRA EMA9:4.7842 EMA21:5.1016
SOUTHBANK EMA9:10.3043 EMA21:10.8514
3IINFOTECH-BE EMA9:8.7698 EMA21:9.0591
JPASSOCIAT-BE EMA9:10.8544 EMA21:11.4694
KECL EMA9:18.9942 EMA21:19.2754
SIL-BE EMA9:16.6709 EMA21:16.9328
TATAPOWER EMA9:130.9733 EMA21:128.2447
RENUKA-BE EMA9:28.8886 EMA21:31.1693
BHEL EMA9:56.9161 EMA21:59.6438
ONGC EMA9:116.1614 EMA21:116.5376
ADANIPOWER-BE EMA9:88.8549 EMA21:94.6533
IBREALEST EMA9:147.4315 EMA21:145.0988
GAIL EMA9:145.8711 EMA21:145.3934
JAYSREETEA EMA9:119.9534 EMA21:119.8447
TATAMOTORS EMA9:298.9900 EMA21:302.3494
COALINDIA EMA9:144.0522 EMA21:144.6432
TATACOFFEE EMA9:205.5529 EMA21:203.5796
ITC EMA9:210.0856 EMA21:208.9264
SAIL EMA9:135.1320 EMA21:133.4940
PFC EMA9:129.9452 EMA21:128.7160
PENIND EMA9:36.1047 EMA21:36.0371
HINDCOPPER EMA9:138.2000 EMA21:142.5483
MINDTECK EMA9:115.9450 EMA21:108.3705
MAHASTEEL EMA9:103.4770 EMA21:102.6294
IOC EMA9:104.3975 EMA21:105.2730
JINDALSTEL EMA9:418.2502 EMA21:413.5516
VEDL EMA9:310.7247 EMA21:296.5974
AMARAJABAT EMA9:723.8305 EMA21:725.6981
NTPC EMA9:117.3363 EMA21:117.5817
EXIDEIND EMA9:170.8144 EMA21:174.6940
GRAVITA EMA9:182.1865 EMA21:176.7481
TATASTLBSL-BE EMA9:94.3071 EMA21:93.2555
RELIANCE EMA9:2096.5770 EMA21:2094.7693
HDFC EMA9:2618.9595 EMA21:2567.1697
TCS EMA9:3305.0936 EMA21:3271.1227
TVSMOTOR EMA9:564.2069 EMA21:576.1764
AXISBANK EMA9:751.0204 EMA21:747.8517
BRITANNIA EMA9:3590.7652 EMA21:3550.6024
SBIN EMA9:432.5166 EMA21:431.8982
FORTIS EMA9:241.5175 EMA21:242.5052
NIFTY 50 EMA9:16204.0995 EMA21:16041.9876
NIFTY BANK EMA9:35703.5482 EMA21:35431.7518
MMTC EMA9:46.8403 EMA21:48.9572
MRPL EMA9:42.9220 EMA21:44.6923
MTNL EMA9:19.7700 EMA21:20.3682
NCC EMA9:85.9534 EMA21:87.1790
SURYODAY EMA9:192.1140 EMA21:200.2646
TIMETECHNO EMA9:83.3251 EMA21:83.7056
KRBL EMA9:266.9757 EMA21:269.6357
IRFC EMA9:23.4354 EMA21:23.4809
MAHABANK EMA9:20.1920 EMA21:21.5418
ABCINDQ EMA9:83.5807 EMA21:84.9723
IDEA EMA9:6.9375 EMA21:7.6282
RPPINFRA EMA9:83.6525 EMA21:83.1482
CUBEXTUB EMA9:25.9697 EMA21:27.1707
PONDYOXIDE EMA9:431.6014 EMA21:405.5417
WATERBASE EMA9:121.6583 EMA21:124.0943
HATHWAYB EMA9:18.3911 EMA21:19.0640
ADROITINFO EMA9:9.7798 EMA21:10.4045
VIKASLIFE-BE EMA9:3.9927 EMA21:3.9494
ZEEMEDIA EMA9:11.2960 EMA21:11.7011
IFINSER EMA9:6.5084 EMA21:6.4990
SMFIL EMA9:1.6479 EMA21:1.3892
SHRENIK EMA9:1.6878 EMA21:1.8114
PILITA EMA9:7.1518 EMA21:7.6560
JINDCAP EMA9:18.9142 EMA21:17.1707
INTCAPM EMA9:17.5726 EMA21:16.1822
BASANTGL EMA9:14.3198 EMA21:14.1545
WELCURE EMA9:8.9998 EMA21:7.5499
VAMA EMA9:10.0415 EMA21:10.0033
GAGAN EMA9:13.7883 EMA21:14.5925
FOODSIN EMA9:66.8457 EMA21:67.0173
CANBK EMA9:154.3336 EMA21:153.0251
HFCL EMA9:69.4733 EMA21:71.3438
BRITANNIA AUG 3600 CE EMA9:58.3709 EMA21:62.2262
HDFC AUG 2700 CE EMA9:22.6902 EMA21:28.2210
ITDCEM EMA9:84.0763 EMA21:85.3503
